date,category,market_type,spec,price,unit,source,note
2026-06-01,DRAM,spot,DDR4 8Gb,3.28,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,spot,DDR4 16Gb,6.51,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,spot,DDR5 8Gb,3.92,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,spot,DDR5 16Gb,7.81,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,spot,DDR5 8Gb x2,7.68,USD/module,Seed template,Replace with licensed source if available
2026-06-01,DRAM,contract_avg,DDR4 8Gb,3.12,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,contract_avg,DDR4 16Gb,6.18,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,contract_avg,DDR5 8Gb,3.74,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,contract_avg,DDR5 16Gb,7.44,USD/chip,Seed template,Replace with licensed source
2026-06-01,DRAM,contract_avg,DDR5 8Gb x2,7.31,USD/module,Seed template,Replace with licensed source if available
2026-06-01,NAND,spot,32GB (4GB x8),1.22,USD/chip,Seed template,Replace with licensed source
2026-06-01,NAND,spot,64GB (8GB x8),2.34,USD/chip,Seed template,Replace with licensed source
2026-06-01,NAND,spot,128GB (16GB x8),4.62,USD/chip,Seed template,Replace with licensed source
2026-06-01,NAND,contract_avg,32GB (4GB x8),1.16,USD/chip,Seed template,Replace with licensed source
2026-06-01,NAND,contract_avg,64GB (8GB x8),2.21,USD/chip,Seed template,Replace with licensed source
